Sample ID,Date_and_time,Sampler,WGS84_Lat,WGS84_Lon,twd97_E,twd97_N,Bulk_Wet_Soil_Dish_g,Bulk_AirDry_Soil_Dish_g,Bulk_Dish_g,Bulk_Apparent_Moisture_pct,Specific_Gravity_Gs,Hydro_Sample_AirDry_g,Hygro_Wet_Soil_Dish_g,Hygro_Dry_Soil_Dish_g,Hygro_Dish_g,Air_Dry_Moisture_pct,Hydro_Absolute_Dry_Soil_g,Hydro_Time_min,Hydro_Reading,Hydro_Temp_C,Sieve_Opening_mm,Sieve_Retained_g,Gravel_pct_75_to_4_75mm,Coarse_Sand_pct_4_75_to_2_0mm,Medium_Sand_pct_2_0_to_0_425mm,Fine_Sand_pct_0_425_to_0_075mm,Silt_pct_0_075_to_0_005mm,Clay_pct_lt_0_005mm,Curve_Size_mm,Curve_Passing_pct,D60_mm,D50_mm,D30_mm,D10_mm,Cu,Cc
1,12/23/2025 0:00,hcapart,23.6903,121.4095,291766.033,2620784.913,324.02,115.61,23.36,225.9186992,2.78,86.17,15.35,15.33,9.61,0.34965035,85.8697561,"[2,5,15,30,60,250,1440]","[15,11,8.5,7.5,7,5.5,5]","[19.0,19.0,19.0,19.0,19.0,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.99,32.02]",0,0,0,37,58,5,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.034, 0.023, 0.013, 0.01, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -1.0, 80.0, 63.0, 20.0, 13.0, 9.0, 7.0, 6.0, 3.0, 2.0, 0.0, 0.0, 0.0]",0.071,0.059,0.0409,0.015,4.7,1.6
2,12/23/2025 0:00,hcapart,23.6948,121.4031,291109.038,2621284.196,199.52,160.51,24.12,28.60180365,2.78,96.65,15.77,15.76,10.85,0.203665988,96.45355691,"[2,5,15,30,60,250,1440]","[9,8.5,7.5,7,6,5,4.5]","[19.0,19.0,19.0,19.0,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,4.51,10.68,34.11,51.62,70.73,76.56,82.4,83.84]",8,17,55,10,7,3,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.036, 0.023, 0.013, 0.01, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 97.0, 92.0, 75.0, 35.0, 20.0, 15.0, -1.0, 11.0, 10.0, 6.0, 6.0, 5.0, 4.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0]",1.451,1.1716,0.6746,0.075,19.3,4.2
3,12/23/2025 0:00,hcapart,23.6946,121.4026,291054.325,2621257.857,188.1,139.16,23.86,42.44579358,2.78,100.22,15.3,15.28,10.05,0.382409178,99.83820952,"[2,5,15,30,60,250,1440]","[16.5,11.5,9,8,7,5.5,5]","[19.0,19.0,19.0,19.0,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.78,34.33,46.55]",0,0,0,47,49,4,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.034, 0.023, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, -1.0, 66.0, 53.0, 20.0, 12.0, 8.0, 7.0, 5.0, 3.0, 2.0, 0.0, 0.0, 0.0]",0.0904,0.0698,0.0432,0.0173,5.2,1.2
4,12/23/2025 0:00,hcapart,23.6912,121.3913,289905.682,2620880.341,165.2,155.06,25.08,7.801200185,2.78,62.36,13.81,13.81,9.22,0,62.36,"[2,5,15,30,60,250,1440]","[13,11.5,9,8,6.5,6,5]","[19.0,19.0,19.0,19.0,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,2.1,12.76,61.7,24.45,31.22,33.83,38.2,39.83]",10,37,27,7,15,4,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.035, 0.023, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 90.0, 53.0, 32.0, 26.0, 24.0, -1.0, 20.0, 19.0, 12.0, 10.0, 7.0, 6.0, 4.0, 3.0, 2.0, 0.0, 0.0, 0.0]",2.3556,1.7699,0.6746,0.023,102.4,8.4
5,12/23/2025 0:00,hcapart,23.6725,121.4646,297384.238,2618827.734,132.77,123.16,23.99,9.690430574,2.78,93.02,14.42,14.41,10.1,0.232018561,92.80467593,"[2,5,15,30,60,250,1440]","[8,6.5,6.5,5.5,5,4.5,4]","[19.0,19.0,19.0,19.1,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,0.66,1.63,19.68,55.74,62.73,75.68,78.4]",1,1,59,24,13,2,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.037, 0.023, 0.014, 0.01, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 98.0, 77.0, 39.0, 32.0, -1.0, 18.0, 15.0, 7.0, 5.0, 5.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.6234,0.5194,0.2212,0.0482,12.9,1.6
6A,12/23/2025 0:00,hcapart,23.6655,121.435,294368.182,2618049.799,120.53,106.41,23.67,17.06550641,2.78,80.11,11.8,11.8,9.29,0,80.11,"[2,5,15,30,60,250,1440]","[20.5,15,10.5,9,7,6,5]","[19.0,19.0,19.0,19.1,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,NaN,NaN,0.55,0.95,16.12,22.65]",0,0,1,27,67,5,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.033, 0.022, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 99.0, -1.0, 80.0, 72.0, 33.0, 22.0, 13.0, 10.0, 6.0, 4.0, 3.0, 0.0, 0.0, 0.0]",0.0583,0.0472,0.0295,0.009,6.5,1.7
6B,12/23/2025 0:00,hcapart,23.6655,121.4351,294385.614,2618042.801,122.74,109.31,23.69,15.68558748,2.78,82.03,13.95,13.94,10.02,0.255102041,81.82127226,"[2,5,15,30,60,250,1440]","[18,14,10.5,8.5,7,6,5]","[19.0,19.0,19.1,19.1,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.88,25.53]",0,0,0,31,64,5,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.033, 0.022, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -1.0, 84.0, 69.0, 27.0, 20.0, 13.0, 9.0, 6.0, 4.0, 2.0, 0.0, 0.0, 0.0]",0.0629,0.0517,0.035,0.0099,6.4,2
6C,12/23/2025 0:00,hcapart,23.6651,121.4345,294319.704,2618007.429,113.2,95.81,21.46,23.38937458,2.78,70.87,13.8,13.79,10.27,0.284090909,70.66923513,"[2,5,15,30,60,250,1440]","[28.5,23,17,13.5,10.5,8,6]","[19.0,19.0,19.1,19.1,19.1,19.1,19.1]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.66,8.82]",0,0,0,12,75,13,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.029, 0.02, 0.012, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, -1.0, 93.0, 88.0, 55.0, 42.0, 29.0, 22.0, 15.0, 9.0, 5.0, 0.0, 0.0, 0.0]",0.0335,0.0251,0.0125,0.0035,9.6,1.3
M1,1/5/2026 7:57,賴彥宏,23.6743,121.4388,294755,2619022,156.82,139.35,22.28,14.92269582,2.78,100.07,17.85,17.84,9.87,0.125470514,99.944599,"[2,5,15,30,60,250,1440]","[24.5,19.5,15,12,9,7.5,5]","[19.1,19.1,19.1,19.1,19.1,19.1,19.2]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,NaN,0.44,12.57,30.03,36.77,47.61,51.09]",0,0,30,21,41,8,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.031, 0.021, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 87.0, 70.0, 63.0, -1.0, 52.0, 49.0, 32.0, 25.0, 18.0, 13.0, 9.0, 6.0, 2.0, 0.0, 0.0, 0.0]",0.1978,0.0842,0.0277,0.0075,26.4,0.5
M2,1/5/2026 9:53,廖寶禎,23.6797,121.4461,295503,2619621,164.42,141.87,22.73,18.92731241,2.78,99.38,17.42,17.4,10.11,0.274348422,99.1080985,"[2,5,15,30,60,250,1440]","[26,19.5,14,11,9,7,6.5]","[19.1,19.1,19.1,19.1,19.1,19.1,19.2]","[1"", 3/4"",  3/8"", #4, #10, #20, #40, #60, #140, #200]","[NaN,NaN,NaN,2.05,11.44,9.53,13.97,17.31,30.45,35.17]",2,8,12,20,51,7,"[101.6, 76.2, 50.8, 25.4, 19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.15, 0.106, 0.075, 0.03, 0.021, 0.013, 0.009, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 90.0, 82.0, 78.0, 75.0, -1.0, 63.0, 58.0, 32.0, 22.0, 15.0, 10.0, 8.0, 5.0, 4.0, 0.0, 0.0, 0.0]",0.0861,0.0566,0.0279,0.009,9.6,1
