Sample ID,Date_and_time,Sampler,WGS84_Lat,WGS84_Lon,twd97_E,twd97_N,Bulk_Wet_Soil_Dish_g,Bulk_AirDry_Soil_Dish_g,Bulk_Dish_g,Bulk_Apparent_Moisture_pct,Specific_Gravity_Gs,Hydro_Sample_AirDry_g,Hygro_Wet_Soil_Dish_g,Hygro_Dry_Soil_Dish_g,Hygro_Dish_g,Air_Dry_Moisture_pct,Hydro_Absolute_Dry_Soil_g,Hydro_Time_min,Hydro_Reading,Hydro_Temp_C,Sieve_Opening_mm,Sieve_Retained_g,Gravel_pct_75_to_4_75mm,Coarse_Sand_pct_4_75_to_2_0mm,Medium_Sand_pct_2_0_to_0_425mm,Fine_Sand_pct_0_425_to_0_075mm,Silt_pct_0_075_to_0_005mm,Clay_pct_lt_0_005mm,Curve_Size_mm,Curve_Passing_pct,D60_mm,D50_mm,D30_mm,D10_mm,Cu,Cc
MHRG-M-02,3/4/2026 8:50,hcapart,23.7159,121.3066,281263.0,2623590.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,80.0,17.0,"[9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.0, 97.0, 97.0, 17.0, 5.0]",0.0214,0.0153,0.0078,0.002,10.7,1.4
MHRG-M-03,3/4/2026 8:52,hcapart,23.7159,121.3066,281263.0,2623590.0,,,,,,,,,,,,,,,,,36.0,22.0,35.0,5.0,1.0,1.0,"[25.4, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 79.0, 64.0, 42.0, 16.0, 7.0, 5.0, 3.0, 2.0, 2.0, 1.0, 0.0]",4.0587,2.7393,1.3475,0.5355,7.6,0.8
MHRG-M-04,3/4/2026 8:54,hcapart,23.7159,121.3066,281263.0,2623590.0,,,,,,,,,,,,,,,,,20.0,30.0,46.0,3.0,0.0,1.0,"[19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 96.0, 80.0, 50.0, 15.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2.6684,2.0,1.2265,0.6203,4.3,0.9
MHRG-M-05,3/4/2026 8:55,hcapart,23.7155,121.3067,281274.0,2623554.0,,,,,,,,,,,,,,,,,13.0,24.0,36.0,17.0,8.0,2.0,"[19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 97.0, 87.0, 63.0, 39.0, 27.0, 21.0, 12.0, 10.0, 10.0, 2.0, 1.0]",1.7971,1.2582,0.5054,0.075,24.0,1.9
MHRG-M-06,3/4/2026 9:00,hcapart,23.7151,121.3065,281254.0,2623505.0,,,,,,,,,,,,,,,,,50.0,9.0,17.0,14.0,9.0,1.0,"[25.4, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 69.0, 50.0, 41.0, 31.0, 24.0, 19.0, 12.0, 10.0, 10.0, 1.0, 0.0]",6.8412,4.75,0.7699,0.075,91.2,1.2
MHRG-M-07,3/4/2026 9:04,hcapart,23.7154,121.3062,281221.0,2623535.0,,,,,,,,,,,,,,,,,57.0,0.0,16.0,8.0,15.0,4.0,"[25.4, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 57.0, 43.0, 43.0, 33.0, 27.0, 25.0, 20.0, 19.0, 19.0, 4.0, 1.0]",10.1747,6.7175,0.601,0.0148,687.5,2.4
MHRG-T-01,3/4/2026 11:08,邱元鴻,23.7103,121.3026,280856.0,2622971.0,,,,,,,,,,,,,,,,,42.0,18.0,13.0,7.0,17.0,3.0,"[19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 78.0, 58.0, 40.0, 31.0, 27.0, 25.0, 21.0, 20.0, 20.0, 3.0, 1.0]",5.0909,3.2339,0.7148,0.0152,334.9,6.6
MHRG-T-02,3/4/2026 11:11,邱元鴻,23.7102,121.3025,280847.0,2622963.0,,,,,,,,,,,,,,,,,39.0,22.0,21.0,8.0,8.0,2.0,"[25.4, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 77.0, 61.0, 39.0, 23.0, 18.0, 15.0, 11.0, 10.0, 10.0, 2.0, 1.0]",4.5669,3.0822,1.2359,0.075,60.9,4.5
MHRG-T-03,3/4/2026 11:13,邱元鴻,23.7102,121.3026,280855.0,2622958.0,,,,,,,,,,,,,,,,,32.0,14.0,20.0,10.0,19.0,5.0,"[25.4, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 79.0, 68.0, 54.0, 40.0, 34.0, 31.0, 25.0, 24.0, 24.0, 5.0, 1.0]",2.8975,1.5662,0.2167,0.0102,284.1,1.6
MHRG-T-04,3/4/2026 11:15,邱元鴻,23.7103,121.0083,250850.0,2622941.0,,,,,,,,,,,,,,,,,27.0,15.0,22.0,12.0,20.0,4.0,"[19.0, 9.5, 4.75, 2.0, 0.85, 0.425, 0.25, 0.106, 0.075, 0.074, 0.005, 0.001]","[100.0, 87.0, 73.0, 58.0, 43.0, 36.0, 32.0, 26.0, 24.0, 24.0, 4.0, 2.0]",2.2445,1.2672,0.1878,0.0113,198.6,1.4
